"name","is_partner","latitude","longitude"
"Mont Sainte Anne","1","47.048698","-70.88760"
"Mont Ste-Marie","0","45.941689","-75.87426"
"Mont Sutton","0","45.104774","-72.56049"
"Mont Tremblant Resort","1","46.213696","-74.58464"
"Montana Snowbowl","0","47.014088","-114.0001"
"Montecito Lake Resort","0","36.787201","-118.6607"
"Moonlight Basin","1","45.265999","-111.2530"
"Morse Farm XC","0","44.256901","-72.56980"
"Mount Bohemia","0","47.387936","-88.02306"
"Mount Brighton","0","42.541206","-83.81285"
"Mount Kato","0","44.132942","-94.03361"
"Mount Pleasant","0","41.879200","-80.14980"
"Mount Seymour","0","49.364853","-122.9489"
"Mount Snow Resort","1","42.968166","-72.89360"
"Mount Sunapee","0","43.341194","-72.07539"
"Mountain Creek Resort","1","41.190701","-74.49669"
"Mountain High Resort","1","34.376888","-117.6915"
"Mountain Meadows XC","0","44.063999","-72.08210"
"Mountain Top at Grand Geneva","0","42.613338","-88.39578"
"Mountain Top XC","0","43.701900","-72.93759"
"Mountain Trails XC","0","42.195900","-74.14579"
"Mountain View","0","44.733383","-79.92115"
"Mt Ashland","0","42.081207","-122.7169"
"Mt Baker","0","48.910599","-121.7601"
"Mt Baldy","0","49.151848","-119.2395"
"Mt Holiday","0","44.744221","-85.51408"
"Mt Holly","0","42.831715","-83.56362"
"Mt Hood Meadows","0","45.331936","-121.6656"
"Mt Hood Skibowl","0","45.301216","-121.7734"
"Mt Jefferson","0","45.355461","-68.28363"
"Mt LaCrosse","0","43.749863","-91.20027"
"Mt Pakenham","0","45.324722","-76.32826"
"Mt Pakenham XC","0","45.322430","-76.33292"
"Mt Peter","0","41.247757","-74.29499"
"Mt Shasta","0","41.320686","-122.2035"
"Mt Southington","0","41.583607","-72.92492"
"Mt Spokane","0","47.921261","-117.0961"
"Mt St Louis-Moonstone","0","44.700203","-79.64238"
"Mt Timothy","0","51.915737","-121.2519"
"Mt Washington Alpine Resort","0","49.740955","-125.2985"
"Mt. Abram Resort","1","44.398224","-70.70151"
"Mt. Bachelor","1","44.003559","-121.6786"
"Mt. Baldy","1","34.269596","-117.6218"
"Mt. Rose Ski Tahoe","1","39.328300","-119.8786"
"Murray Ridge","0","54.517895","-124.2112"
"Mystic Mountain at Nemacolin Woodlands","0","39.802898","-79.55439"
"Nakiska Ski Area","0","50.940636","-115.1503"
"Nashoba Valley","1","42.540779","-71.44261"
"New Hermon Mtn","0","44.787392","-68.94641"
"Nordic Heritage XC","0","46.681702","-68.01529"
"Nordic Mountain","0","44.118801","-89.17636"
"Nordic Skier XC","0","43.584099","-71.20739"
"North Shore XC","0","47.576302","-90.83149"
"Northfield Mtn XC","0","42.691898","-72.45729"
"Northstar at Tahoe","0","39.275173","-120.1220"
"Norway Mountain","0","45.788982","-87.87011"
"Notchview Reservation XC","0","42.510899","-73.05580"
"Nub's Nob","0","45.472771","-84.90556"
"Oak Hill Farms XC","0","42.757500","-74.29380"
"Oak Mountain","0","43.514385","-74.36156"
"Ober Gatlinburg","0","35.703381","-83.55771"
"Okemo Mountain","0","43.401806","-72.71670"
"Okemo Nordic Center","0","43.398998","-72.70349"
"Ole's XC","0","44.185001","-72.84369"
"Olympic Sports Complex XC","0","44.282101","-73.98269"
"Osceola Tug Hill XC","0","43.329102","-75.72229"
"Oshawa Ski Club","0","44.024799","-78.57812"
"Otis Ridge","0","42.193005","-73.09204"
"Otsego Ski Club","0","45.027302","-84.66600"
"Owl's Head","0","45.074642","-72.29780"
"Pajarito","0","35.894924","-106.3904"
"Panorama Mountain Village","1","50.457012","-116.2367"
"Paoli Peaks","0","38.554459","-86.51244"
"Parc National Gaspesie XC","0","49.129700","-66.48719"
"Parc National Mont Orford XC","0","45.305698","-72.16519"
"Parc National Mont-Tremblant XC","0","46.206600","-74.47200"
"Park City Mountain Resort","1","40.651375","-111.5081"
"Pats Peak","1","43.180679","-71.83341"
"Pattison XC","0","46.535000","-92.12100"
"Pebble Creek","0","42.778393","-112.1590"
"Peek' n Peak","0","42.062164","-79.73565"
"Perfect North Slopes","0","39.147919","-84.88623"
"Pico Mountain","1","43.663277","-72.84261"
"Pine Hill XC","0","43.419998","-72.01000"
"Pine Knob","0","42.740772","-83.37962"
"Pine Mountain","0","45.839520","-88.08902"
"Pine Ridge","0","44.400002","-79.63999"
"Pineland Farms XC","0","43.965500","-70.28289"
"Pineridge XC","0","42.750801","-73.34629"
"Plattekill Mountain","1","42.290169","-74.65347"
"Pomerelle","0","42.317749","-113.6079"
"Powder King","0","55.310783","-123.1217"
"Powder Mountain","1","41.379318","-111.7815"
"Powder Ridge","0","45.342857","-94.30513"
"Powderhorn","1","39.069778","-108.1513"
"Powderhouse Hill","0","43.240002","-70.79000"
"Prospect Mountain XC","0","42.884800","-73.18569"
"Quechee Lakes","0","43.657799","-72.43820"
"Radcliffe Hills","0","45.470001","-77.66999"
"Ragged Mountain Resort","1","43.486305","-71.84200"
"Raging Buffalo","0","42.147625","-88.29274"
"Rangeley Lakes XC","0","44.980999","-70.64700"
"Red Lodge","0","45.191021","-109.3350"
"Red Mountain Resort","1","49.105343","-117.8190"
"Red River Ski and Ride Area","1","36.708698","-105.4115"
"Revelstoke Mountain Resort","1","50.954697","-118.1506"
"Rikert Middlebury XC","0","44.004700","-73.16629"
"Royal Mountain","0","43.083813","-74.50532"
"Saddleback","1","44.983387","-70.63296"
"Salmon Hills XC","0","43.533401","-75.82129"
"Sandia Peak","0","35.191242","-106.4870"
"Sapphire Valley","0","35.124577","-83.05896"
"Sawkill Family Ski Center","0","41.985600","-74.04499"
"Scenic Caves Nordic","0","44.500801","-80.21690"
"Schweitzer Mountain","0","47.499401","-116.1168"
"Searchmont Resort","0","46.769791","-84.04944"
"Searchmont XC","0","46.510201","-84.33200"
"Seven Oaks - IA","1","42.031174","-93.95364"
"Seven Springs","1","40.024590","-79.28378"
"Shanty Creek Resorts","1","44.950039","-85.18447"
"Shawnee Mountain Ski Area","1","41.036880","-75.07811"
"Shawnee Peak","1","44.053791","-70.81752"
"Showdown","0","46.838413","-110.6989"
"Sierra-At-Tahoe","1","38.792763","-120.0900"
"Silver Mountain","1","47.542999","-116.1356"
"Silver Star Resort (BC)","1","50.438702","-119.2086"
"Silverton Mountain","0","37.884022","-107.6654"
"Sipapu Ski and Summer Resort","1","36.189098","-105.6763"
"Sir Sam's","0","45.130501","-78.48284"
"Ski Anthony Lakes","0","44.963585","-118.2337"
"Ski Apache","0","33.397358","-105.7892"
"Ski Big Bear","0","41.522396","-75.02400"
"Ski Bromont","0","45.301502","-72.63687"
"Ski Brule","0","46.029629","-88.70086"
"Ski Butternut","1","42.186001","-73.32000"
"Ski Cooper","1","39.360184","-106.3019"
"Ski Denton","0","41.777023","-77.82847"
"Ski La Reserve","0","46.283379","-74.18612"
"Ski Morin Heights","0","45.899418","-74.26794"
"Ski Roundtop","0","40.110374","-76.92444"
"Ski Santa Fe","0","35.795902","-105.8035"
"Ski Sawmill","0","41.525658","-77.28308"
"Ski Snowstar","0","41.424934","-90.74382"
"Ski Sundown","0","41.884308","-72.94744"
"Ski Ward","1","42.303642","-71.68135"
"Skyloft Ski Club","0","44.030098","-79.07718"
"Sleeping Giant","1","44.467968","-109.4071"
"Sleepy Hollow Inn XC","0","44.303101","-72.97530"
"Smugglers' Notch","1","44.589092","-72.78833"
"Smugglers' Notch XC","0","44.639198","-72.82250"
"Sno Mountain","0","41.350140","-75.67382"
"Snow Creek","0","39.466301","-94.97309"
"Snow King Ski Resort","1","43.473301","-110.7576"
"Snow Mountain XC","0","39.993000","-105.8462"
"Snow Ridge","0","43.639801","-75.42045"
"Snow Snake","0","43.958687","-84.78007"
"Snow Summit Mountain Resort","1","34.235699","-116.8883"
"Snow Trails","0","40.671329","-82.50119"
"Snow Valley","0","34.236214","-116.8899"
"Snow Valley","0","44.412907","-79.79142"
"Snowbasin","1","41.214596","-111.8597"
"Snowbird Ski and Summer Resort","1","40.581074","-111.6570"
"Snowhaven","0","45.869183","-116.0901"
"Snowmass","0","39.198471","-106.9491"
"Snowshoe Mountain","1","38.400002","-79.98999"
"Snowy Range","1","41.296787","-105.6263"
"Soda Springs","0","39.321053","-120.3798"
"Sol Vista Basin at Granby Ranch","0","40.044636","-105.9061"
"Soldier Hollow XC","0","40.512199","-111.4754"
"Soldier Mountain","0","43.484657","-114.8290"
"Solitude Ski Resort","1","40.625648","-111.6007"
"Song Mountain","0","42.774345","-76.15879"
"Spirit Mountain","1","46.754299","-92.26989"
"Spout Springs","0","45.754829","-118.0515"
"Spring Mountain","0","40.270802","-75.45124"
"Spruce Mountain","0","44.530075","-70.23284"
"Squaw Valley USA","0","39.196045","-120.2332"
"Starlight Lake XC","0","41.917999","-75.32199"
"Station Duchesnay XC","0","46.844398","-71.61509"
"Station Mont Sainte Anne XC","0","47.116798","-70.85980"
"Steamboat","1","40.458214","-106.8057"
"Steamboat XC","0","40.482700","-106.8289"
"Stevens Pass","1","47.760460","-121.4212"
"Stevens Pass XC","0","47.711899","-121.3582"
"Stoneham Mountain Resort","1","47.026726","-71.38718"
"Storrs Hill","0","43.637299","-72.24759"
"Stowe Mountain Resort","1","44.530502","-72.78687"
"Stowe Mountain XC","0","44.476898","-72.70269"
"Strathcona Wilderness Centre XC","0","53.552898","-113.1480"
"Stratton Mountain","0","43.114017","-72.90630"
"Stump Sprouts XC","0","42.614399","-72.87760"
"Sugar Bowl","0","39.305447","-120.3332"
"Sugar Mountain","0","-81.85652","36.129841"
"Sugarbush","1","44.145721","-72.87931"
"Sugarloaf","1","45.067280","-70.31514"
"Sugarloaf Outdoor XC","0","45.075100","-70.21150"
"Suicide Six","0","43.665138","-72.54345"
"Summit at Snoqualmie-Alpental","0","47.412987","-121.4123"
"Summit at Snoqualmie-Central","0","47.402531","-121.4178"
"Summit at Snoqualmie-East","0","47.511002","-121.8564"
"Summit at Snoqualmie-West","0","47.511002","-121.8564"
"Sun Peaks","0","50.877369","-119.9132"
"Sun Valley Resort","1","43.709999","-114.3399"
"Sun Valley XC","0","43.704712","-114.3484"
"Sunburst","0","43.493805","-88.22409"
"Sundance Resort Utah","1","40.392860","-111.5811"
"Sunday River","1","44.550358","-70.90739"
"Sunday River XC","0","44.493999","-70.79380"
"Sundown Mountain","0","42.515656","-90.81922"
"Sunlight Mountain Resort","1","39.399391","-107.3389"
"Sunrise Park","0","33.975109","-109.5665"
"Sunshine Village","1","51.174175","-115.6826"
"Swain","0","42.467758","-77.87354"
"Swiss Valley","0","41.954605","-85.82730"
"Tahoe Donner","0","39.354725","-120.2579"
"Tahoe Donner XC","0","39.331100","-120.1940"
"Tahoe XC","0","39.170601","-120.1412"
"Talisman Resort","0","44.393085","-80.54641"
"Tamarack Resort","1","44.731400","-116.0783"
"Tanglwood","0","41.415634","-75.16605"
"Taos Ski Valley","1","36.596199","-105.4506"
"Telemark XC","0","46.176601","-90.92320"
"Telluride","1","37.932961","-107.8507"
"Tennessee Pass XC","0","39.259998","-106.3000"
"Tenney Mountain","0","43.749588","-71.68882"
"The Canyons","1","40.685390","-111.5562"
"The Homestead","0","38.157120","-78.57527"
"The Homestead","0","38.050499","-79.78389"
"Thunder Ridge","1","41.487400","-73.57679"
"Timber Creek XC","0","42.884300","-72.87570"
"Timber Ridge","0","42.391422","-85.77992"
"Timberline Four Seasons","1","39.037655","-79.39845"
"Timberline Lodge","1","45.291187","-121.7672"
"Titcomb Mountain","0","44.650002","-70.17083"
"Titcomb Mountain XC","0","44.661800","-70.16030"
"Titus Mountain","0","44.764561","-74.23406"
"TLH Heliskiing","0","50.850163","-122.8330"
"Toggenburg","0","42.826427","-75.95990"
"Trapp Family Lodge XC","0","44.476898","-72.70269"
"Tree Haven Trails XC","0","42.974499","-74.15110"
"Treetops","0","45.027542","-84.58796"
"Tremblant XC","0","46.212299","-74.58799"
"Trollhaugen","0","45.353683","-92.61296"
"Turner Mountain","0","48.605389","-115.6307"
"Tussey Mountain","0","40.770012","-77.75507"
"Tuxedo Ridge","0","41.248287","-74.22672"
"Tyrol Basin","0","43.046310","-89.78319"
"Uplands","0","43.824108","-79.44295"
"Vail","1","39.605026","-106.3561"
"Vail Golden Peak Nordic","0","39.626186","-106.3769"
"Val D'Irene","0","48.472408","-67.57192"
"Viking Nordic XC","0","43.235901","-72.84020"
"Villa Olivia","0","42.013111","88.217896"
"Vista Verde Ranch XC","0","40.707401","-106.9186"
"Vorlage","0","45.648609","-75.93226"
"Wachusett ","0","42.503555","-71.88542"
"Warner Canyon","0","42.191898","-120.3524"
"Waterville Valley","1","43.961613","-71.51998"
"Waterville Valley XC","0","43.950001","-71.51000"
"Welch Village","0","44.560890","-92.72877"
"West Mountain","0","43.285267","-73.72324"
"Weston Ski Track XC","0","42.369099","-71.29879"
"Whaleback","1","43.604446","-72.17202"
"Whistler Blackcomb","0","50.106930","-122.9220"
"Whistler Lost Lake XC","0","50.130760","-122.9321"
"Whistler XC","0","50.115898","-122.9593"
"White Grass XC","0","39.023201","-79.42700"
"White Pass","0","46.638180","-121.3893"
"White Pine","0","48.015190","-114.3692"
"Whitecap Mountain","0","46.407742","-90.39542"
"Whiteface - Lake Placid","1","44.356506","-73.87061"
"Whitefish Mountain Resort","1","48.482510","-114.3573"
"Whitetail","0","39.741909","-77.93263"
"Whitewater Ski Resort","1","49.440620","-117.1404"
"Wild Mountain","1","45.476398","-92.69719"
"Wild Wings XC","0","43.221699","-72.89740"
"Wildcat Mountain","1","44.264626","-71.23672"
"Willamette Pass","0","43.599289","-122.0366"
"Willard Mountain","0","43.021530","-73.51596"
"Wilmot Mountain","0","42.501530","-88.18884"
"Windblown XC","0","42.758701","-71.85859"
"Windham Mountain","1","42.295597","-74.25994"
"Winding Trails XC","0","41.724998","-72.83210"
"Winter Park Resort","1","39.891563","-105.7642"
"Wintergreen Resort","1","37.921452","-78.94736"
"Winterplace","1","37.595940","-81.11824"
"Wisp","1","39.559349","-79.36253"
"Wolf Creek","0","37.472458","-106.7932"
"Wolf Creek Utah","0","41.309471","-111.8642"
"Wolf Ridge","0","35.955116","-82.50885"
"Woodbury","0","41.584572","-73.25093"
"Woods Valley","0","43.301773","-75.38260"
"Woodstock XC","0","43.628300","-72.53980"
"Yawgoo Valley","0","41.517590","-71.52723"
"Yosemite XC","0","37.652699","-119.0389"